date,price
2016/9/1,2.1787
2016/9/2,2.1893
2016/9/5,2.1903
2016/9/6,2.196
2016/9/7,2.1999
2016/9/8,2.1999
2016/9/9,2.1903
2016/9/12,2.1614
2016/9/13,2.1538
2016/9/14,2.1413
2016/9/19,2.1538
2016/9/20,2.1509
2016/9/21,2.1547
2016/9/22,2.1662
2016/9/23,2.1605
2016/9/26,2.1345
2016/9/27,2.1413
2016/9/28,2.1317
2016/9/29,2.1422
2016/9/30,2.147
2016/10/10,2.173
2016/10/11,2.1759
2016/10/12,2.1682
2016/10/13,2.1682
2016/10/14,2.1768
2016/10/17,2.1614
2016/10/18,2.1922
2016/10/19,2.1893
2016/10/20,2.1903
2016/10/21,2.2047
2016/10/24,2.2325
2016/10/25,2.2277
2016/10/26,2.22
2016/10/27,2.2143
2016/10/28,2.2162
2016/10/31,2.2143
2016/11/1,2.2248
2016/11/2,2.2095
2016/11/3,2.2354
2016/11/4,2.2325
2016/11/7,2.2383
2016/11/8,2.246
2016/11/9,2.2287
2016/11/10,2.2517
2016/11/11,2.27
2016/11/14,2.2806
2016/11/15,2.2729
2016/11/16,2.2681
2016/11/17,2.2758
2016/11/18,2.27
2016/11/21,2.2959
2016/11/22,2.3132
2016/11/23,2.3199
2016/11/24,2.3296
2016/11/25,2.3545
2016/11/28,2.3632
2016/11/29,2.4015
2016/11/30,2.375
2016/12/1,2.3887
2016/12/2,2.372
2016/12/5,2.3298
2016/12/6,2.3249
2016/12/7,2.3318
2016/12/8,2.3367
2016/12/9,2.3691
2016/12/12,2.3426
2016/12/13,2.3278
2016/12/14,2.317
2016/12/15,2.266
2016/12/16,2.2591
2016/12/19,2.2513
2016/12/20,2.2395
2016/12/21,2.2562
2016/12/22,2.2503
2016/12/23,2.2375
2016/12/26,2.2562
2016/12/27,2.2473
2016/12/28,2.2365
2016/12/29,2.2365
2016/12/30,2.2454
2017/1/3,2.265
2017/1/4,2.2827
2017/1/5,2.2797
2017/1/6,2.2719
2017/1/9,2.2768
2017/1/10,2.2709
2017/1/11,2.2611
2017/1/12,2.2542
2017/1/13,2.2679
2017/1/16,2.2964
2017/1/17,2.2866
2017/1/18,2.3013
2017/1/19,2.2915
2017/1/20,2.3062
2017/1/23,2.3053
2017/1/24,2.3111
2017/1/25,2.3141
2017/1/26,2.3229
2017/2/3,2.2994
2017/2/6,2.3003
2017/2/7,2.2925
2017/2/8,2.3053
2017/2/9,2.3111
2017/2/10,2.3229
2017/2/13,2.3347
2017/2/14,2.3269
2017/2/15,2.3259
2017/2/16,2.3288
2017/2/17,2.318
2017/2/20,2.3514
2017/2/21,2.3494
2017/2/22,2.3524
2017/2/23,2.3435
2017/2/24,2.3416
2017/2/27,2.3239
2017/2/28,2.3249
2017/3/1,2.3249
2017/3/2,2.3102
2017/3/3,2.3003
2017/3/6,2.3062
2017/3/7,2.3111
2017/3/8,2.3121
2017/3/9,2.3003
2017/3/10,2.2925
2017/3/13,2.3121
2017/3/14,2.3082
2017/3/15,2.3111
2017/3/16,2.3259
2017/3/17,2.3003
2017/3/20,2.3043
2017/3/21,2.3102
2017/3/22,2.2935
2017/3/23,2.3013
2017/3/24,2.321
2017/3/27,2.317
2017/3/28,2.3111
2017/3/29,2.3092
2017/3/30,2.3003
2017/3/31,2.3131
2017/4/5,2.3386
2017/4/6,2.3406
2017/4/7,2.3406
2017/4/10,2.3337
2017/4/11,2.3347
2017/4/12,2.3308
2017/4/13,2.3239
2017/4/14,2.3072
2017/4/17,2.3102
2017/4/18,2.2954
2017/4/19,2.2797
2017/4/20,2.2886
2017/4/21,2.2984
2017/4/24,2.2935
2017/4/25,2.2994
2017/4/26,2.2964
2017/4/27,2.3013
2017/4/28,2.2974
2017/5/2,2.2895
2017/5/3,2.2827
2017/5/4,2.2778
2017/5/5,2.2709
2017/5/8,2.2758
2017/5/9,2.2729
2017/5/10,2.2787
2017/5/11,2.2915
2017/5/12,2.3269
2017/5/15,2.3308
2017/5/16,2.3357
2017/5/17,2.3151
2017/5/18,2.3072
2017/5/19,2.3121
2017/5/22,2.3298
2017/5/23,2.3593
2017/5/24,2.3553
2017/5/25,2.425
2017/5/26,2.4211
2017/5/31,2.4299
2017/6/1,2.4447
2017/6/2,2.425
2017/6/5,2.3975
2017/6/6,2.4123
2017/6/7,2.4348
2017/6/8,2.4555
2017/6/9,2.4712
2017/6/12,2.4682
2017/6/13,2.4663
2017/6/14,2.4368
2017/6/15,2.4201
2017/6/16,2.4152
2017/6/19,2.4515
2017/6/20,2.4378
